"","parent","index","text"
"1152","1",1152,"Isn’t that grand? "
"1154","1",1154,"You couldn’t quite call it poetry, I suppose, but it sounds a lot like it, doesn’t it?”  "
"1156","1",1156,"Don’t you know it’s a terrible wicked thing not to say your prayers every night? "
"1163","1",1163,"Now, do you honestly think they can?”  "
"1174","1",1174,"“Why must people kneel down to pray? "
"1179","1",1179,"What am I to say?”  "
"1186","1",1186,"“Gracious heavenly Father--that’s the way the ministers say it in church, so I suppose it’s all right in private prayer, isn’t it?” "
"1194","1",1194,"“There, did I do all right?” "
"1200","1",1200,"I should have said, ‘Amen’ in place of ‘yours respectfully,’ shouldn’t I?--the way the ministers do. "
"1202","1",1202,"Do you suppose it will make any difference?”  "
"1210","1",1210,"Will you believe that she never said a prayer in her life till tonight? "
"1221","1",1221,"Her thin little body trembled from head to foot; her face flushed and her eyes dilated until they were almost black; she clasped her hands tightly and said in an imploring voice:  “Oh, please, Miss Cuthbert, won’t you tell me if you are going to send me away or not? "
"1231","1",1231,"Why, child, whatever is the matter?”  "
"1242","1",1242,"But can you tell me why I’m crying?”  "
"1248","1",1248,"“What am I to call you?” "
"1250","1",1250,"“Shall I always say Miss Cuthbert? "
"1251","1",1251,"Can I call you Aunt Marilla?”  "
"1261","1",1261,"Can’t I call you Aunt Marilla?”  "
"1266","1",1266,"“Do you never imagine things different from what they really are?” "
"1279","1",1279,"You couldn’t really expect a person to pray very well the first time she tried, could you? "
"1282","1",1282,"But would you believe it? "
"1286","1",1286,"Have you ever noticed that?”  "
"1293","1",1293,"“Anne, whatever are you thinking of?” "
"1297","1",1297,"She looks lonely and sad, don’t you think? "
"1303","1",1303,"But it’s likely He did, don’t you think? "
"1331","1",1331,"“Marilla,” she demanded presently, “do you think that I shall ever have a bosom friend in Avonlea?”  "
"1332","1",1332,"“A--a what kind of friend?”  "
"1336","1",1336,"Do you think it’s possible?”  "
"1344","1",1344,"“What is Diana like? "
"1345","1",1345,"Her hair isn’t red, is it? "
"1393","1",1393,"“Can I take the apple blossoms with me for company?” "
"1400","1",1400,"What do you do when you meet with an irresistible temptation?”  "
"1401","1",1401,"“Anne, did you hear me tell you to go to your room?”  "
"1419","1",1419,"But it’s a million times nicer to be Anne of Green Gables than Anne of nowhere in particular, isn’t it?”  "
"1450","1",1450,"“Couldn’t you have sent her back?”  "
"1470","1",1470,"Lawful heart, did any one ever see such freckles? "
"1477","1",1477,"“How dare you call me skinny and ugly? "
"1478","1",1478,"How dare you say I’m freckled and redheaded? "
"1483","1",1483,"“How dare you say such things about me?” "
"1485","1",1485,"“How would you like to have such things said about you? "
"1486","1",1486,"How would you like to be told that you are fat and clumsy and probably hadn’t a spark of imagination in you? "
"1502","1",1502,"“Marilla Cuthbert, you don’t mean to say that you are upholding her in such a terrible display of temper as we’ve just seen?” "
"1527","1",1527,"And how was she to punish her? "
"1538","1",1538,"Aren’t you ashamed of yourself?”  "
"1569","1",1569,"How can I? "
"1573","1",1573,"I can’t say I’m sorry when I’m not, can I? "
"1590","1",1590,"You’re--you’re going to give her something to eat, aren’t you?”  "
"1591","1",1591,"“When did you ever hear of me starving people into good behavior?”  "
"1598","1",1598,"Had Anne eaten anything at all?  "
"1606","1",1606,"“Anne,” he whispered, as if afraid of being overheard, “how are you making it, Anne?”  "
"1614","1",1614,"“Well now, Anne, don’t you think you’d better do it and have it over with?” "
"1618","1",1618,"“Do you mean apologize to Mrs. Lynde?”  "
"1642","1",1642,"“How would wild horses drag a secret from a person anyhow?”  "
"1646","1",1646,"“Well?” "
"1658","1",1658,"“What are you thinking of, Anne?” "
"1678","1",1678,"If you refuse it will be a lifelong sorrow on a poor little orphan girl, would you, even if she had a dreadful temper? "
"1685","1",1685,"Where was the wholesome punishment upon which she, Marilla, had plumed herself? "
"1701","1",1701,"It would be so much easier to be good if one’s hair was a handsome auburn, don’t you think? "
"1702","1",1702,"And now may I go out into your garden and sit on that bench under the apple-trees while you and Marilla are talking? "
"1717","1",1717,"“I apologized pretty well, didn’t I?” "
"1727","1",1727,"Do you suppose my hair will really be a handsome auburn when I grow up?”  "
"1730","1",1730,"“How can I be vain when I know I’m homely?” "
"1740","1",1740,"It gives you a lovely, comfortable feeling to apologize and be forgiven, doesn’t it? "
"1741","1",1741,"Aren’t the stars bright tonight? "
"1742","1",1742,"If you could live in a star, which one would you pick? "
"1766","1",1766,"Anne’s Impressions of Sunday-School   |WELL, how do you like them?” "
"1774","1",1774,"What is the matter with them? "
"1775","1",1775,"Aren’t they neat and clean and new?”  "
"1777","1",1777,"“Then why don’t you like them?”  "
"1830","1",1830,"“Well, how did you like Sunday school?” "
"1860","1",1860,"Why couldn’t I? "
"1897","1",1897,"What on earth put you up to such a caper? "
"1906","1",1906,"What’s the difference?”  "
"1950","1",1950,"“How do you do, Marilla?” "
"1953","1",1953,"And this is the little girl you have adopted, I suppose?”  "
"1956","1",1956,"Mrs. Barry, not hearing or not comprehending, merely shook hands and said kindly:  “How are you?”  "
"1958","1",1958,"Then aside to Marilla in an audible whisper, “There wasn’t anything startling in that, was there, Marilla?”  "
"1972","1",1972,"“Oh, Diana,” said Anne at last, clasping her hands and speaking almost in a whisper, “oh, do you think you can like me a little--enough to be my bosom friend?”  "
"1979","1",1979,"“Will you swear to be my friend forever and ever?” "
"1990","1",1990,"“How do you do it?”  "
"2004","1",2004,"“Well, did you find Diana a kindred spirit?” "
"2010","1",2010,"Can I have those broken pieces of china that are out in the woodshed? "
"2012","1",2012,"Don’t you think that is a very strange coincidence? "
"2016","1",2016,"Don’t you think Diana has got very soulful eyes? "
"2025","1",2025,"Isn’t that a perfectly elegant name? "
"2044","1",2044,"And I can give Diana half of them, can’t I? "
"2064","1",2064,"_ And, oh, Marilla, can I go to it?”  "
"2066","1",2066,"What time did I tell you to come in?”  "
"2067","1",2067,"“Two o’clock--but isn’t it splendid about the picnic, Marilla? "
"2068","1",2068,"Please can I go? "
"2076","1",2076,"Please can I go?”  "
"2111","1",2111,"Isn’t that a poetical name? "
"2117","1",2117,"You must come and see it, Marilla--won’t you? "
"2132","1",2132,"I’d be satisfied with one, wouldn’t you? "
"2135","1",2135,"I’d love to be able to faint, wouldn’t you, Marilla? "
